time_tag, T, EM
2017-09-06 11:53:00, 7.85861, 0.332882
2017-09-06 11:53:02, 7.85861, 0.332882
2017-09-06 11:53:04, 7.88873, 0.330629
2017-09-06 11:53:06, 7.9548, 0.325162
2017-09-06 11:53:08, 7.98382, 0.322982
2017-09-06 11:53:11, 7.97124, 0.325095
2017-09-06 11:53:13, 8.03572, 0.319732
2017-09-06 11:53:15, 8.00042, 0.322912
2017-09-06 11:53:17, 8.00675, 0.321861
2017-09-06 11:53:19, 8.00675, 0.321861
2017-09-06 11:53:21, 7.98382, 0.322982
2017-09-06 11:53:23, 8.1229, 0.313493
2017-09-06 11:53:25, 8.08744, 0.316572
2017-09-06 11:53:27, 8.15213, 0.311455
2017-09-06 11:53:29, 8.14554, 0.312476
2017-09-06 11:53:31, 8.16771, 0.311512
2017-09-06 11:53:33, 8.219, 0.308565
2017-09-06 11:53:35, 8.21219, 0.309591
2017-09-06 11:53:37, 8.299, 0.303804
2017-09-06 11:53:39, 8.34093, 0.302373
2017-09-06 11:53:41, 8.39466, 0.29939
2017-09-06 11:53:43, 8.4484, 0.296466
2017-09-06 11:53:45, 8.5554, 0.292906
2017-09-06 11:53:47, 8.80342, 0.283275
2017-09-06 11:53:49, 9.09511, 0.272061
2017-09-06 11:53:51, 9.37949, 0.263169
2017-09-06 11:53:54, 9.61285, 0.258027
2017-09-06 11:53:56, 9.80911, 0.253534
2017-09-06 11:53:58, 10.0665, 0.249391
2017-09-06 11:54:00, 10.4063, 0.243302
2017-09-06 11:54:02, 10.8405, 0.236664
2017-09-06 11:54:04, 11.3479, 0.231492
2017-09-06 11:54:06, 11.7178, 0.230711
2017-09-06 11:54:08, 12.121, 0.230305
2017-09-06 11:54:10, 12.3802, 0.231782
2017-09-06 11:54:12, 12.6063, 0.23359
2017-09-06 11:54:14, 13.0624, 0.235591
2017-09-06 11:54:16, 13.4607, 0.239112
2017-09-06 11:54:18, 13.8546, 0.243829
2017-09-06 11:54:20, 14.1834, 0.25088
2017-09-06 11:54:22, 14.5161, 0.257759
2017-09-06 11:54:24, 14.9609, 0.267314
2017-09-06 11:54:26, 15.3816, 0.280234
2017-09-06 11:54:28, 15.7981, 0.29258
2017-09-06 11:54:30, 16.1263, 0.306014
2017-09-06 11:54:32, 16.3906, 0.319115
2017-09-06 11:54:34, 16.5648, 0.331773
2017-09-06 11:54:37, 16.7643, 0.342729
2017-09-06 11:54:39, 16.9945, 0.353569
2017-09-06 11:54:41, 17.2499, 0.365644
2017-09-06 11:54:43, 17.466, 0.377242
2017-09-06 11:54:45, 17.6385, 0.388982
2017-09-06 11:54:47, 17.7528, 0.402881
2017-09-06 11:54:49, 17.9118, 0.414587
2017-09-06 11:54:51, 18.0468, 0.428977
2017-09-06 11:54:53, 18.1558, 0.4421
2017-09-06 11:54:55, 18.248, 0.456123
2017-09-06 11:54:57, 18.3196, 0.469549
2017-09-06 11:54:59, 18.4139, 0.482341
2017-09-06 11:55:01, 18.4757, 0.49654
2017-09-06 11:55:03, 18.594, 0.511651
2017-09-06 11:55:05, 18.75, 0.528887
2017-09-06 11:55:07, 18.8563, 0.548111
2017-09-06 11:55:09, 18.9749, 0.565257
2017-09-06 11:55:11, 19.0948, 0.583192
2017-09-06 11:55:13, 19.2334, 0.604352
2017-09-06 11:55:15, 19.3474, 0.627817
2017-09-06 11:55:17, 19.4567, 0.651299
2017-09-06 11:55:20, 19.6224, 0.675357
2017-09-06 11:55:22, 19.7557, 0.702211
2017-09-06 11:55:24, 19.878, 0.729093
2017-09-06 11:55:26, 19.9715, 0.754998
2017-09-06 11:55:28, 20.0704, 0.78054
2017-09-06 11:55:30, 20.2367, 0.809701
2017-09-06 11:55:32, 20.5541, 0.853674
2017-09-06 11:55:34, 20.8431, 0.899867
2017-09-06 11:55:36, 21.1343, 0.944092
2017-09-06 11:55:38, 21.3421, 0.986517
2017-09-06 11:55:40, 21.609, 1.03861
2017-09-06 11:55:42, 21.9305, 1.09895
2017-09-06 11:55:44, 22.1444, 1.16206
2017-09-06 11:55:46, 22.3691, 1.23257
2017-09-06 11:55:48, 22.604, 1.30256
2017-09-06 11:55:50, 22.8566, 1.38153
2017-09-06 11:55:52, 23.0858, 1.48
2017-09-06 11:55:54, 23.5, 1.56158
2017-09-06 11:55:56, 23.8362, 1.65735
2017-09-06 11:55:58, 24.0539, 1.7992
2017-09-06 11:56:00, 24.118, 2.01529
2017-09-06 11:56:03, 24.5582, 2.1632
2017-09-06 11:56:05, 24.8449, 2.31027
2017-09-06 11:56:07, 24.8245, 2.5331
2017-09-06 11:56:09, 24.9795, 2.7191
2017-09-06 11:56:11, 25.2794, 2.84882
2017-09-06 11:56:13, 25.557, 3.02256
2017-09-06 11:56:15, 25.9722, 3.19775
2017-09-06 11:56:17, 26.3727, 3.31488
2017-09-06 11:56:19, 26.7043, 3.50148
2017-09-06 11:56:21, 26.8299, 3.7251
2017-09-06 11:56:23, 27.0786, 3.89609
2017-09-06 11:56:25, 27.2328, 4.10238
2017-09-06 11:56:27, 27.2335, 4.40619
2017-09-06 11:56:29, 27.4677, 4.63566
2017-09-06 11:56:31, 27.4763, 4.92618
2017-09-06 11:56:33, 27.58, 5.17027
2017-09-06 11:56:35, 27.8619, 5.36288
2017-09-06 11:56:37, 28.0718, 5.59175
2017-09-06 11:56:39, 28.3, 5.83803
2017-09-06 11:56:41, 28.485, 6.10464
2017-09-06 11:56:43, 28.5789, 6.35502
2017-09-06 11:56:46, 28.7391, 6.56094
2017-09-06 11:56:48, 28.7962, 6.83824
2017-09-06 11:56:50, 28.7313, 7.13739
2017-09-06 11:56:52, 28.7804, 7.37779
2017-09-06 11:56:54, 28.8395, 7.64456
2017-09-06 11:56:56, 28.8319, 7.9529
2017-09-06 11:56:58, 28.8541, 8.21507
2017-09-06 11:57:00, 28.8511, 8.46164
2017-09-06 11:57:02, 28.8697, 8.79359
2017-09-06 11:57:04, 28.8654, 9.1649
2017-09-06 11:57:06, 28.829, 9.4315
2017-09-06 11:57:08, 28.7605, 9.74713
2017-09-06 11:57:10, 28.7522, 10.0252
2017-09-06 11:57:12, 28.7608, 10.2695
2017-09-06 11:57:14, 28.7496, 10.5631
2017-09-06 11:57:16, 28.7442, 10.9361
2017-09-06 11:57:18, 28.7536, 11.3515
2017-09-06 11:57:20, 28.7766, 11.6769
2017-09-06 11:57:22, 28.8, 11.9482
2017-09-06 11:57:24, 28.7523, 12.3113
2017-09-06 11:57:27, 28.7152, 12.765
2017-09-06 11:57:29, 28.6634, 13.2364
2017-09-06 11:57:31, 28.6845, 13.5666
2017-09-06 11:57:33, 28.6665, 13.8115
2017-09-06 11:57:35, 28.602, 14.0855
2017-09-06 11:57:37, 28.497, 14.4284
2017-09-06 11:57:39, 28.425, 14.7662
2017-09-06 11:57:41, 28.3613, 15.1195
2017-09-06 11:57:43, 28.2948, 15.3694
2017-09-06 11:57:45, 28.1907, 15.7003
2017-09-06 11:57:47, 28.1371, 15.9824
2017-09-06 11:57:49, 28.0591, 16.3942
2017-09-06 11:57:51, 28.0256, 16.7758
2017-09-06 11:57:53, 27.9491, 17.0768
2017-09-06 11:57:55, 27.8664, 17.4473
2017-09-06 11:57:57, 27.8093, 17.6882
2017-09-06 11:57:59, 27.7131, 17.961
2017-09-06 11:58:01, 27.6199, 18.2391
2017-09-06 11:58:03, 27.5304, 18.4749
2017-09-06 11:58:05, 27.4568, 18.7092
2017-09-06 11:58:07, 27.4072, 18.9021
2017-09-06 11:58:10, 27.3242, 19.0882
2017-09-06 11:58:12, 27.2695, 19.2787
2017-09-06 11:58:14, 27.2163, 19.5054
2017-09-06 11:58:16, 27.151, 19.7329
2017-09-06 11:58:18, 27.0559, 19.9832
2017-09-06 11:58:20, 26.9849, 20.1794
2017-09-06 11:58:22, 26.9376, 20.3144
2017-09-06 11:58:24, 26.89, 20.4986
